order_id,customer_id,car_type,car_parts,delivery_date
1874383,81424,van,51 54 75 55 61 70,20240321
1874402,81618,van,62 74 53 51 65 66 73,20240323
1874351,75667,suv,10 14 1 22 20,20240323
1874354,74935,suv,22 13 25 5 19 7,20240322
1874362,77269,sedan,30 36 28 31 41 32 29 48,20240322
1874332,74429,suv,14 5 13 22 18 6 11,20240322
1874399,80041,van,57 72 68 55 74 75 70 71,20240323
1874375,77458,sedan,36 49 30 45 31 33 29 28,20240321
1874398,81687,van,72 74 63 61 65 55,20240321
1874409,84190,sports_car,84 94 90 89,20240322
1874345,75950,suv,5 6 4 15 3,20240322
1874406,83850,sports_car,81 98 84 100,20240321
1874420,82327,sports_car,81 100 90,20240322
1874365,77141,sedan,48 44 26 36 31,20240321
1874336,75104,suv,15 16 22 6 19 9,20240321
1874349,76271,suv,7 3 21 23 14 15 13,20240323
1874392,80307,van,64 65 73,20240322
1874393,80965,van,54 65 69 64 74 57,20240321
1874337,74494,suv,18 25 8 7,20240322
1874422,82947,sports_car,98 82 81 99 97 96 93,20240322
1874370,77347,sedan,43 39 48 33 29 32,20240322
1874408,83635,sports_car,90 99 94 84 76,20240322
1874391,80835,van,57 64 61 62,20240323
1874387,81533,van,58 69 71 74 54 73,20240321
1874355,76078,suv,11 22 13,20240322
1874340,75905,suv,11 10 3 20 7 16 9,20240323
1874376,77063,sedan,28 46 34 40 27,20240322
1874385,79987,van,65 64 54 69 68 66 74,20240321
1874334,75768,suv,12 3 1 23 13 18 25,20240323
1874390,81539,van,54 53 75 70,20240322
1874333,75111,suv,4 22 2 12 7 25 21 9,20240322
1874405,79871,van,55 66 53 68 73 61,20240323
1874397,81306,van,68 74 70,20240323
1874371,77564,sedan,44 32 41 39 45 34,20240323
1874357,78202,sedan,35 43 48 38 31 36 47,20240323
1874396,80953,van,61 68 66 56 54,20240323
1874395,80621,van,63 54 64 70 53 61,20240322
1874364,78737,sedan,35 36 31 47 26 43 38,20240321
1874372,79009,sedan,29 41 44 45,20240321
1874374,79050,sedan,34 39 30 37 31,20240321
1874342,76615,suv,1 15 6 9 8 13 25,20240321
1874346,74468,suv,3 25 16 19,20240323
1874429,83311,sports_car,97 88 82,20240322
1874338,74481,suv,6 2 25 7,20240322
1874352,74978,suv,15 1 3 12 5,20240321
1874388,80491,van,59 57 67 72 52 65,20240321
1874407,82602,sports_car,88 83 97 86 77 94,20240323
1874379,77079,sedan,47 39 26 41 37,20240323
1874386,79483,van,66 51 63 74 65 57,20240322
1874426,82326,sports_car,93 76 88 77 89,20240322
1874344,76128,suv,16 9 15 25 22 3 4,20240321
1874424,83451,sports_car,84 90 79 89 82 93 81,20240323
1874428,84253,sports_car,81 92 98,20240321
1874419,84300,sports_car,99 86 93 76 98,20240321
1874343,75775,suv,5 3 17 11 6,20240321
1874350,76534,suv,4 21 10 23 22 7 8,20240321
1874341,76001,suv,3 6 2 20,20240323
1874348,74853,suv,2 12 15 5 8 23,20240322
1874335,74452,suv,16 18 15 21 2 19 22 3,20240321
1874378,79287,sedan,33 44 35 29 39 36 45 40,20240323
1874356,77625,sedan,41 47 40 37 46 26,20240323
1874361,78539,sedan,46 27 29 43 40 26 30 35,20240321
1874413,82465,sports_car,86 98 82,20240321
1874415,84033,sports_car,86 89 100 82,20240321
1874427,82037,sports_car,90 84 96 78,20240323
1874411,82856,sports_car,87 95 76,20240321
1874417,82331,sports_car,92 81 97 83 85 94 79,20240321
1874366,78454,sedan,49 40 30 41 32 36,20240322
1874394,79335,van,58 61 62 74 72 51 56,20240321
1874421,82807,sports_car,86 78 77 93 79 97 76,20240323
1874381,81339,van,73 66 71 59 61,20240322
1874401,79564,van,60 52 71 67 70 72,20240322
1874358,78769,sedan,35 50 26 37 48 34 40,20240321
1874331,75528,suv,14 25 23 9 7 13 12,20240323
1874404,79365,van,56 70 72 53,20240322
1874410,84244,sports_car,93 83 81 79,20240323
1874412,83237,sports_car,88 84 85 100 78,20240322
1874367,78322,sedan,42 41 40 32 38 39,20240322
1874347,74701,suv,5 19 25 10,20240322
1874353,76549,suv,13 1 5,20240321
1874382,79890,van,64 63 54 59 69 65,20240322
1874403,81104,van,65 59 62 73 74 69 55 63,20240321
1874389,81827,van,72 69 51 67 70 66 61 55,20240321
1874373,78644,sedan,48 35 40 44 46,20240321
1874418,81957,sports_car,97 99 100 83 80 91 89,20240321
1874369,78009,sedan,46 47 44 43 26,20240321
1874360,77375,sedan,29 46 38,20240323
1874414,83994,sports_car,93 83 98 97 78,20240322
1874416,82617,sports_car,87 82 94 98,20240321
1874384,79370,van,56 58 71 57,20240321
1874363,77702,sedan,32 33 44 41 28 45 34 40,20240323
1874377,79155,sedan,40 37 39 41 31 42 36 32,20240323
1874368,79025,sedan,42 50 45,20240323
1874359,78218,sedan,49 37 50 28 47 35 30 36,20240321
1874425,83706,sports_car,80 93 78 96,20240323
1874380,78222,sedan,29 36 43 35 48 41,20240323
1874400,79727,van,66 65 68,20240321
1874339,76563,suv,22 8 1 16 3,20240323
1874430,82268,sports_car,85 99 96 87,20240321
1874423,83583,sports_car,90 91 89 79,20240322
